station_id,station_name,year,month,profiles_total,profiles_good,profiles_with_inversion,mean_delta_t_top_surface_c,mean_inversion_delta_t_c
31004,Aldan,1999,10,22,21,6,-21.081,3.567
31004,Aldan,1999,11,18,18,9,-17.3,3.378
31004,Aldan,1999,12,20,19,11,-15.032,9.273
31004,Aldan,2000,1,23,21,20,-11.733,6.11
31004,Aldan,2000,2,29,28,18,-15.243,3.911
31004,Aldan,2000,3,22,21,15,-21.629,3.24
31004,Aldan,2000,4,19,18,3,-29.322,1.767
31004,Aldan,2000,5,38,37,1,-33.73,1.4
31004,Aldan,2000,6,33,31,1,-32.306,0.8
31004,Aldan,2000,7,31,28,2,-30.871,0.6
31004,Aldan,2000,8,31,27,8,-29.181,2.075
31004,Aldan,2000,9,30,28,14,-26.318,2.307
31004,Aldan,2000,10,31,31,10,-23.819,5.4
31004,Aldan,2000,11,30,30,13,-16.347,5.2
31004,Aldan,2000,12,31,30,21,-7.713,6.79
31004,Aldan,2001,1,31,30,20,-11.067,8.07
31004,Aldan,2001,2,28,27,14,-16.659,2.457
31004,Aldan,2001,3,28,26,15,-21.846,3.56
31004,Aldan,2001,4,29,29,4,-27.072,1.45
31004,Aldan,2001,5,61,61,6,-30.664,0.867
31004,Aldan,2001,6,58,57,7,-31.87,0.8
31004,Aldan,2001,7,61,59,7,-30.737,1.943
31004,Aldan,2001,8,47,45,15,-27.327,2.947
31004,Aldan,2001,9,57,57,13,-27.86,2.777
31004,Aldan,2001,10,62,61,19,-23.936,2.853
31004,Aldan,2001,11,60,60,16,-19.367,2.75
31004,Aldan,2001,12,62,62,33,-14.355,5.061
31004,Aldan,2002,1,61,61,23,-18.433,5.513
31004,Aldan,2002,2,56,54,21,-19.226,5.59
31004,Aldan,2002,3,56,54,19,-24.089,3.305
31004,Aldan,2002,4,57,55,16,-28.684,2.194
31004,Aldan,2002,5,61,61,3,-30.53,1.0
31004,Aldan,2002,6,59,57,6,-33.019,0.6
31004,Aldan,2002,7,46,44,8,-30.295,2.6
31004,Aldan,2002,8,62,61,26,-28.372,1.754
31004,Aldan,2002,9,59,59,13,-27.181,1.862
31004,Aldan,2002,10,62,62,19,-18.953,4.189
31004,Aldan,2002,11,60,60,23,-15.493,5.843
31004,Aldan,2002,12,62,62,27,-12.765,5.563
31004,Aldan,2003,1,62,62,37,-12.884,4.67
31004,Aldan,2003,2,55,55,38,-17.895,3.874
31004,Aldan,2003,3,62,61,29,-25.215,3.255
31004,Aldan,2003,4,52,51,9,-31.371,1.044
31004,Aldan,2003,5,47,46,3,-30.548,1.6
31004,Aldan,2003,6,59,59,3,-30.52,1.067
31004,Aldan,2003,7,61,61,5,-30.146,1.08
31004,Aldan,2003,8,58,57,10,-29.826,1.88
31004,Aldan,2003,9,57,56,18,-27.691,2.589
31004,Aldan,2003,10,36,36,9,-23.981,3.467
31004,Aldan,2003,11,30,30,19,-14.147,6.168
31004,Aldan,2003,12,31,31,14,-15.903,5.186
31004,Aldan,2004,1,31,30,20,-14.627,5.76
31004,Aldan,2004,2,27,26,17,-11.269,8.341
31004,Aldan,2004,3,30,30,10,-19.6,4.0
31004,Aldan,2004,4,29,29,3,-29.459,1.133
31004,Aldan,2004,5,31,31,1,-30.219,0.4
31004,Aldan,2004,6,29,28,4,-29.2,0.6
31004,Aldan,2004,7,30,30,1,-29.093,0.2
