station_id,station_name,year,month,profiles_total,profiles_good,profiles_with_inversion,mean_delta_t_top_surface_c,mean_inversion_delta_t_c
31004,Aldan,1999,10,22,21,4,-21.081,3.15
31004,Aldan,1999,11,18,18,8,-17.3,3.675
31004,Aldan,1999,12,20,19,6,-15.032,8.6
31004,Aldan,2000,1,23,21,12,-11.733,7.1
31004,Aldan,2000,2,29,28,12,-15.243,3.633
31004,Aldan,2000,3,22,21,11,-21.629,3.927
31004,Aldan,2000,4,19,18,3,-29.322,1.767
31004,Aldan,2000,5,38,37,1,-33.73,1.4
31004,Aldan,2000,6,33,31,1,-32.306,0.8
31004,Aldan,2000,7,31,28,2,-30.871,0.6
31004,Aldan,2000,8,31,27,6,-29.181,2.133
31004,Aldan,2000,9,30,28,9,-26.318,2.411
31004,Aldan,2000,10,31,31,7,-23.819,5.729
31004,Aldan,2000,11,30,30,3,-16.347,8.467
31004,Aldan,2000,12,32,30,4,-7.713,9.8
31004,Aldan,2001,1,31,30,6,-11.067,9.167
31004,Aldan,2001,2,28,27,11,-16.659,2.945
31004,Aldan,2001,3,28,26,9,-21.846,3.511
31004,Aldan,2001,4,29,29,1,-27.072,2.2
31004,Aldan,2001,5,61,61,6,-30.664,0.867
31004,Aldan,2001,6,59,58,7,-31.767,0.8
31004,Aldan,2001,7,61,59,7,-30.737,1.943
31004,Aldan,2001,8,48,45,7,-27.327,2.8
31004,Aldan,2001,9,58,57,8,-27.86,2.862
31004,Aldan,2001,10,64,62,11,-24.098,2.691
31004,Aldan,2001,11,60,60,11,-19.367,2.582
31004,Aldan,2001,12,63,63,9,-14.254,8.667
31004,Aldan,2002,1,61,61,10,-18.433,4.96
31004,Aldan,2002,2,56,54,11,-19.226,5.509
31004,Aldan,2002,3,56,54,15,-24.089,3.44
31004,Aldan,2002,4,57,55,12,-28.684,2.258
31004,Aldan,2002,5,61,61,2,-30.53,1.2
31004,Aldan,2002,6,59,57,2,-33.019,0.8
31004,Aldan,2002,7,47,45,7,-30.358,2.714
31004,Aldan,2002,8,62,61,20,-28.372,1.9
31004,Aldan,2002,9,59,59,7,-27.181,2.514
31004,Aldan,2002,10,62,62,4,-18.953,4.55
31004,Aldan,2002,11,60,60,10,-15.493,6.14
31004,Aldan,2002,12,62,62,14,-12.765,5.914
31004,Aldan,2003,1,62,62,12,-12.884,4.8
31004,Aldan,2003,2,55,55,23,-17.895,3.835
31004,Aldan,2003,3,62,61,17,-25.215,3.906
31004,Aldan,2003,4,52,51,7,-31.371,1.1
31004,Aldan,2003,5,48,47,3,-30.5,1.6
31004,Aldan,2003,6,59,59,3,-30.52,1.067
31004,Aldan,2003,7,61,61,4,-30.149,1.2
31004,Aldan,2003,8,58,57,9,-29.826,2.067
31004,Aldan,2003,9,57,56,10,-27.691,3.08
31004,Aldan,2003,10,36,36,6,-23.981,2.467
31004,Aldan,2003,11,30,30,6,-14.147,5.567
31004,Aldan,2003,12,31,31,5,-15.903,7.96
31004,Aldan,2004,1,31,30,5,-14.627,7.16
31004,Aldan,2004,2,27,26,8,-11.269,8.375
31004,Aldan,2004,3,30,30,5,-19.6,4.88
31004,Aldan,2004,4,29,29,2,-29.459,0.7
31004,Aldan,2004,5,31,31,1,-30.219,0.4
31004,Aldan,2004,6,29,28,4,-29.2,0.6
31004,Aldan,2004,7,30,30,0,-29.093,
31004,Aldan,2004,8,31,31,3,-27.726,0.533
31004,Aldan,2004,9,28,28,5,-25.968,1.6
31004,Aldan,2004,10,30,29,8,-22.569,2.2
31004,Aldan,2004,11,30,29,0,-20.597,
31004,Aldan,2004,12,32,32,7,-11.156,8.371
31004,Aldan,2005,1,62,61,12,-12.446,6.033
31004,Aldan,2005,2,57,56,11,-12.354,5.055
31004,Aldan,2005,3,61,59,20,-20.993,3.28
31004,Aldan,2005,4,59,58,8,-29.0,1.85
31004,Aldan,2005,5,61,60,1,-31.348,1.0
31004,Aldan,2005,6,60,56,5,-30.954,0.92
31004,Aldan,2005,7,47,42,3,-29.624,2.0
31004,Aldan,2005,8,61,59,9,-25.885,2.778
31004,Aldan,2005,9,60,60,23,-27.23,3.165
31004,Aldan,2005,10,62,59,12,-25.12,1.233
31004,Aldan,2005,11,59,58,19,-17.703,4.832
31004,Aldan,2005,12,62,61,14,-8.148,12.671
31004,Aldan,2006,1,62,62,30,-9.635,8.28
31004,Aldan,2006,2,56,54,16,-14.707,3.412
31004,Aldan,2006,3,61,57,36,-21.786,3.161
31004,Aldan,2006,4,60,57,6,-28.644,1.617
31004,Aldan,2006,5,62,59,1,-30.019,0.8
31004,Aldan,2006,6,61,60,7,-30.987,1.257
31004,Aldan,2006,7,61,61,16,-30.097,1.462
31004,Aldan,2006,8,61,61,29,-28.043,1.617
31004,Aldan,2006,9,60,60,20,-27.645,2.59
31004,Aldan,2006,10,61,59,15,-22.981,2.587
31004,Aldan,2006,11,60,60,7,-15.097,1.914
31004,Aldan,2006,12,62,61,7,-17.036,4.2
31004,Aldan,2007,1,62,62,15,-18.771,2.973
31004,Aldan,2007,2,56,56,29,-15.329,5.324
31004,Aldan,2007,3,61,61,31,-20.61,4.994
31004,Aldan,2007,4,37,37,10,-27.932,1.54
31004,Aldan,2007,5,59,59,6,-30.051,0.9
31004,Aldan,2007,6,60,60,4,-30.973,1.45
31004,Aldan,2007,7,62,62,6,-28.665,0.867
31004,Aldan,2007,8,62,60,11,-27.203,1.455
31004,Aldan,2007,9,60,60,19,-26.528,3.616
31004,Aldan,2007,10,62,62,10,-25.218,2.11
31004,Aldan,2007,11,60,60,10,-18.8,2.2
31004,Aldan,2007,12,61,59,18,-16.271,6.0
31004,Aldan,2008,1,62,60,12,-15.243,3.883
31004,Aldan,2008,2,58,57,18,-18.319,3.922
31004,Aldan,2008,3,62,61,24,-22.985,4.154
31004,Aldan,2008,4,58,56,7,-28.154,1.0
31004,Aldan,2008,5,59,59,1,-31.488,1.2
31004,Aldan,2008,6,60,60,7,-34.953,1.057
31004,Aldan,2008,7,62,60,3,-29.093,0.933
31004,Aldan,2008,8,61,58,11,-28.479,1.836
31004,Aldan,2008,9,60,59,18,-25.285,2.622
31004,Aldan,2008,10,61,61,12,-25.225,1.992
31004,Aldan,2008,11,60,60,8,-17.603,3.95
31004,Aldan,2008,12,62,61,20,-12.069,5.33
31004,Aldan,2009,1,62,61,17,-13.626,6.824
31004,Aldan,2009,2,56,53,21,-14.211,5.314
31004,Aldan,2009,3,62,61,23,-20.934,4.63
31004,Aldan,2009,4,59,59,6,-30.066,1.85
31004,Aldan,2009,5,60,60,3,-30.008,1.233
31004,Aldan,2009,6,60,58,2,-32.266,1.2
31004,Aldan,2009,7,61,61,0,-30.808,
31004,Aldan,2009,8,61,59,15,-27.581,2.48
31004,Aldan,2009,9,60,60,23,-26.985,2.517
31004,Aldan,2009,10,62,62,12,-23.802,2.875
31004,Aldan,2009,11,60,60,10,-18.447,3.94
31004,Aldan,2009,12,62,62,20,-9.094,9.21
31004,Aldan,2010,1,62,61,14,-10.092,10.257
31004,Aldan,2010,2,56,56,17,-15.439,4.576
31004,Aldan,2010,3,62,62,27,-20.684,3.526
31004,Aldan,2010,4,60,60,8,-27.105,1.475
31004,Aldan,2010,5,62,62,0,-30.073,
31004,Aldan,2010,6,59,59,7,-28.7,1.371
31004,Aldan,2010,7,60,60,2,-30.01,1.2
31004,Aldan,2010,8,62,62,14,-28.039,2.714
31004,Aldan,2010,9,60,60,9,-25.772,3.456
31004,Aldan,2010,10,62,62,18,-24.347,2.294
31004,Aldan,2010,11,60,60,15,-18.68,5.747
31004,Aldan,2010,12,62,62,21,-7.194,9.295
31004,Aldan,2011,1,62,61,8,-11.007,9.9
31004,Aldan,2011,2,56,56,13,-16.536,4.969
31004,Aldan,2011,3,62,62,20,-23.513,3.42
31004,Aldan,2011,4,61,59,8,-28.595,2.175
31004,Aldan,2011,5,62,62,3,-31.36,1.667
31004,Aldan,2011,6,60,59,4,-32.463,0.65
31004,Aldan,2011,7,62,62,6,-31.516,1.5
31004,Aldan,2011,8,61,61,14,-27.567,2.343
31004,Aldan,2011,9,61,60,13,-26.73,1.608
31004,Aldan,2011,10,62,62,4,-24.874,4.35
31004,Aldan,2011,11,60,60,12,-17.427,4.05
31004,Aldan,2011,12,62,62,16,-12.687,4.525
31004,Aldan,2012,1,62,62,14,-11.852,10.686
31004,Aldan,2012,2,58,58,21,-16.624,2.886
31004,Aldan,2012,3,62,62,31,-21.0,3.516
31004,Aldan,2012,4,60,60,7,-25.93,2.543
